sample_track,model_id,target_id,horizon,observation_count,origin_start,origin_end,rmse,mae,mase,mean_error
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,real_gdp,2,52,2010Q2,2025Q1,2.734292506370214,2.028863739379114,0.8007061197580367,0.17436387021518518
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,real_gdp,4,50,2010Q2,2024Q3,2.6701116536025955,1.891684929714304,0.7444903024142551,-0.04776590385201491
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,real_gdp,8,46,2010Q2,2023Q3,28.11130797125847,6.219897701608126,2.1375556843879364,3.5678271438031
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,real_gdp,12,42,2010Q2,2022Q3,72.48558390059118,13.869254197495165,4.624793199535628,9.126512003107624
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,gdp_deflator,1,53,2010Q2,2025Q2,1.2060008361716577,0.9800660752156691,1.3114227122830187,0.38818925250315806
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,gdp_deflator,2,52,2010Q2,2025Q1,1.457747562526914,1.098718068322353,1.46658429913386,0.4790308045095038
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,gdp_deflator,4,50,2010Q2,2024Q3,1.8763225722752173,1.280844415951895,1.697289390302622,0.3371872406430703
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,gdp_deflator,8,46,2010Q2,2023Q3,5.820931622453485,2.435834953430901,3.234918770910388,0.3580112227474002
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,gdp_deflator,12,42,2010Q2,2022Q3,12.987620910894703,4.095356823710399,5.340971981572045,0.17706968432489506
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,nominal_gdp,1,53,2010Q2,2025Q2,3.411680802902834,2.6149606193844623,1.0028390736191146,0.9574976409260538
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,nominal_gdp,2,52,2010Q2,2025Q1,3.1367625503515155,2.4839844134458784,0.9680725216618787,0.653308245045809
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,nominal_gdp,4,50,2010Q2,2024Q3,3.502760538326944,2.4792694484962694,0.9505478733929834,0.2893633234664761
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,nominal_gdp,8,46,2010Q2,2023Q3,32.20473019390229,8.102395828082212,2.7499372299645417,3.9270907575358653
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,nominal_gdp,12,42,2010Q2,2022Q3,83.2079100412566,17.117382193037535,5.600525037920214,9.306491634337407
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,unemployment_rate,1,53,2010Q2,2025Q2,0.42874870216584515,0.2942710733355359,0.9245281379165292,-0.054769851299960585
