sample_track,model_id,benchmark_model_id,target_id,horizon,observation_count,rmse_ratio,mae_ratio,rmse_gain_percent
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,gdp_deflator,4,58,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,gdp_deflator,8,54,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,gdp_deflator,12,50,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,nominal_gdp,1,61,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,nominal_gdp,2,60,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,nominal_gdp,4,58,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,nominal_gdp,8,54,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,nominal_gdp,12,50,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,unemployment_rate,1,61,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,unemployment_rate,2,60,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,unemployment_rate,4,58,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,unemployment_rate,8,54,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,unemployment_rate,12,50,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,1,61,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,2,60,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,4,58,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,8,54,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p1_constant,beforeit_var_p1_constant,effective_federal_funds_rate,12,50,1.0,1.0,0.0
abm_all_available_common_cells,beforeit_var_p2_constant,beforeit_var_p1_constant,real_gdp,1,61,1.054061810664596,1.1941853381955942,-5.406181066459603
abm_all_available_common_cells,beforeit_var_p2_constant,beforeit_var_p1_constant,real_gdp,2,60,1.2975621303487748,1.2392606301775193,-29.756213034877476
abm_all_available_common_cells,beforeit_var_p2_constant,beforeit_var_p1_constant,real_gdp,4,58,1.9106269154455928,1.4950717686388715,-91.06269154455929
abm_all_available_common_cells,beforeit_var_p2_constant,beforeit_var_p1_constant,real_gdp,8,54,3.395758244123274,2.0064639016130195,-239.5758244123274
abm_all_available_common_cells,beforeit_var_p2_constant,beforeit_var_p1_constant,real_gdp,12,50,9.918519892644566,4.567927549872367,-891.8519892644566
abm_all_available_common_cells,beforeit_var_p2_constant,beforeit_var_p1_constant,gdp_deflator,1,61,0.9004953918341101,0.9774625709163556,9.95046081658899
abm_all_available_common_cells,beforeit_var_p2_constant,beforeit_var_p1_constant,gdp_deflator,2,60,1.1216514849145447,1.0297027696381702,-12.16514849145447
abm_all_available_common_cells,beforeit_var_p2_constant,beforeit_var_p1_constant,gdp_deflator,4,58,1.3198344525101104,1.1505981441223154,-31.983445251011045
