month,series_id,published_value,latest,footnote_codes
2023-01,CES0000000001,154776,false,none
2023-01,LNS14000000,3.5,false,none
2023-02,CES0000000001,155066,false,none
2023-02,LNS14000000,3.6,false,none
2023-03,CES0000000001,155134,false,none
2023-03,LNS14000000,3.5,false,none
2023-04,CES0000000001,155375,false,none
2023-04,LNS14000000,3.4,false,none
2023-05,CES0000000001,155655,false,none
2023-05,LNS14000000,3.6,false,none
2023-06,CES0000000001,155880,false,none
2023-06,LNS14000000,3.6,false,none
2023-07,CES0000000001,156043,false,none
2023-07,LNS14000000,3.5,false,none
2023-08,CES0000000001,156261,false,none
2023-08,LNS14000000,3.7,false,none
2023-09,CES0000000001,156417,false,none
2023-09,LNS14000000,3.7,false,none
2023-10,CES0000000001,156576,false,none
2023-10,LNS14000000,3.9,false,none
2023-11,CES0000000001,156703,false,none
2023-11,LNS14000000,3.7,false,none
2023-12,CES0000000001,156857,false,none
2023-12,LNS14000000,3.8,false,none
2024-01,CES0000000001,157032,false,none
2024-01,LNS14000000,3.7,false,none
2024-02,CES0000000001,157238,false,none
2024-02,LNS14000000,3.9,false,none
2024-03,CES0000000001,157466,false,none
2024-03,LNS14000000,3.9,false,none
2024-04,CES0000000001,157530,false,none
2024-04,LNS14000000,3.9,false,none
2024-05,CES0000000001,157608,false,none
2024-05,LNS14000000,3.9,false,none
2024-06,CES0000000001,157695,false,none
2024-06,LNS14000000,4.1,false,none
2024-07,CES0000000001,157748,false,none
2024-07,LNS14000000,4.2,false,none
2024-08,CES0000000001,157757,false,none
2024-08,LNS14000000,4.2,false,none
2024-09,CES0000000001,157912,false,none
2024-09,LNS14000000,4.1,false,none
2024-10,CES0000000001,157945,false,none
2024-10,LNS14000000,4.1,false,none
2024-11,CES0000000001,158079,false,none
2024-11,LNS14000000,4.2,false,none
2024-12,CES0000000001,158316,false,none
2024-12,LNS14000000,4.1,false,none
2025-01,CES0000000001,158268,false,none
2025-01,LNS14000000,4.0,false,none
2025-02,CES0000000001,158310,false,none
2025-02,LNS14000000,4.2,false,none
2025-03,CES0000000001,158377,false,none
2025-03,LNS14000000,4.2,false,none
2025-04,CES0000000001,158485,false,none
2025-04,LNS14000000,4.2,false,none
2025-05,CES0000000001,158498,false,none
2025-05,LNS14000000,4.3,false,none
2025-06,CES0000000001,158478,false,none
2025-06,LNS14000000,4.1,false,none
2025-07,CES0000000001,158542,false,none
2025-07,LNS14000000,4.3,false,none
2025-08,CES0000000001,158472,false,none
2025-08,LNS14000000,4.3,false,none
2025-09,CES0000000001,158548,false,none
2025-09,LNS14000000,4.4,false,none
2025-10,CES0000000001,158408,false,none
2025-10,LNS14000000,-,false,9
2025-11,CES0000000001,158449,false,none
2025-11,LNS14000000,4.5,false,none
2025-12,CES0000000001,158432,false,none
2025-12,LNS14000000,4.4,false,none
2026-01,CES0000000001,158592,false,none
2026-01,LNS14000000,4.3,false,12
2026-02,CES0000000001,158436,false,none
2026-02,LNS14000000,4.4,false,none
2026-03,CES0000000001,158650,false,none
2026-03,LNS14000000,4.3,false,none
2026-04,CES0000000001,158798,false,none
2026-04,LNS14000000,4.3,false,none
2026-05,CES0000000001,158927,false,P
2026-05,LNS14000000,4.3,false,none
2026-06,CES0000000001,158984,true,P
2026-06,LNS14000000,4.2,true,none
