variant,origin,path,quarter,utilization,capacity_index,book_capital,unemployment_rate,annualized_real_growth
headline_v3,2016Q4,5,1,0.8555672097229524,9.654942544890992e6,5.6748216335999995e7,3.5596933187294635,4.1738246335668805
headline_v3,2016Q4,5,2,0.8626989739862899,9.692753016183402e6,5.6748216335999995e7,3.12157721796276,4.8863123090804095
headline_v3,2016Q4,5,3,0.8647131765954141,9.73071156000268e6,5.6748216335999995e7,2.9572836801752462,2.453016686474996
headline_v3,2016Q4,5,4,0.8660591765784198,9.768818756227154e6,5.6748216335999995e7,2.738225629791895,2.130300789222872
headline_v3,2016Q4,5,5,0.865345111198624,9.80707518700608e6,5.6748216335999995e7,2.8477546549835706,1.1803607659473414
headline_v3,2016Q4,5,6,0.8681101635590792,9.845482965934012e6,5.674822427466215e7,2.6834611171960567,2.742984965941986
headline_v3,2016Q4,5,7,0.8694791309022923,9.884039910462864e6,5.674822573852198e7,2.3001095290251916,2.0987297775377556
headline_v3,2016Q4,5,8,0.8732723064054672,9.922747833674207e6,5.6748227108246714e7,2.08105147864184,3.2135173379458593
headline_v3,2016Q4,5,9,0.8784540746437581,9.961607345812313e6,5.674822848195974e7,1.9715224534501643,3.775871472561221
headline_v3,2016Q4,5,10,0.8778471223833,1.000061891779074e7,5.674822923231149e7,1.8619934282584885,1.218646502214682
headline_v3,2016Q4,5,11,0.887166442534573,1.0039813795003898e7,5.674849171051583e7,1.04052573932092,5.747369845003902
headline_v3,2016Q4,5,12,0.8813855737971764,1.0079152235141708e7,5.674867127938704e7,1.8072289156626506,-1.1736792284324338
headline_v3,2016Q4,5,13,0.8773977093581828,1.0118692458168786e7,5.674915824810588e7,1.8619934282584885,-0.2784019853201869
headline_v3,2016Q4,5,14,0.8784207174146984,1.0158324081836414e7,5.6749179839284815e7,2.08105147864184,1.9996937380675206
headline_v3,2016Q4,5,15,0.8874918349043481,1.0198239161520947e7,5.674978148953069e7,0.9309967141292442,5.671995395657348
headline_v3,2016Q4,5,16,0.893018739322427,1.0238403836189112e7,5.675092759855726e7,0.32858707557502737,3.9771700486490147
headline_v3,2016Q4,5,17,0.8948343095142786,1.0278704382448368e7,5.6752286572898e7,0.054764512595837894,2.2821798577517427
headline_v3,2016Q4,5,18,0.8932571778373811,1.0319047715745904e7,5.6752607336900756e7,0.32858707557502737,0.8379576850984449
headline_v3,2016Q4,5,19,0.8994644888371173,1.0359622595283426e7,5.67535642412077e7,0.0,4.418251409575191
headline_v3,2016Q4,5,20,0.9011519801559621,1.0400500625740614e7,5.675517835310173e7,0.0,2.32725086495833
headline_v3,2016Q4,5,21,0.9084197644527366,1.0442269946968824e7,5.675859983932155e7,0.0,4.808546248662537
headline_v3,2016Q4,5,22,0.9102014207865825,1.0483773333575571e7,5.676106316674201e7,0.0,2.253438817953679
headline_v3,2016Q4,5,23,0.9102850631185645,1.0525603967855053e7,5.676391084765673e7,0.0,1.6362374460179296
headline_v3,2016Q4,5,24,0.9072681924228189,1.0566919248260435e7,5.676421923470259e7,0.0,0.29264069967425144
headline_v3,2016Q4,6,0,0.8499999999999998,9.617279568509158e6,5.6748216335999995e7,3.723986856516977,NaN
headline_v3,2016Q4,6,1,0.8431304818656264,9.654942544890992e6,5.6748216335999995e7,3.9430449069003286,-1.6863659821666488
headline_v3,2016Q4,6,2,0.8415301300882081,9.692753016183406e6,5.6748216335999995e7,4.052573932092004,0.8347085323485715
headline_v3,2016Q4,6,3,0.8484933142930665,9.73071156000268e6,5.6748216335999995e7,3.7787513691128147,4.954267592887618
headline_v3,2016Q4,6,4,0.8570228417208448,9.768818756227156e6,5.6748216335999995e7,3.4501642935377874,5.5274808871828895
headline_v3,2016Q4,6,5,0.8598080375082624,9.807075187006079e6,5.6748216335999995e7,3.3953997809419496,2.683114262230646
headline_v3,2016Q4,6,6,0.8538154118747325,9.845482512762941e6,5.674822192202473e7,3.833515881708653,-1.2736450385908427
headline_v3,2016Q4,6,7,0.8545986331011672,9.884039871761363e6,5.674822553838691e7,3.833515881708653,1.9086115505110968
headline_v3,2016Q4,6,8,0.8563502955992107,9.922747528910708e6,5.674822553838691e7,3.669222343921139,2.3826919826596793
