sample_track,target_set,challenger,comparator,observation_count,mean_differential,adjusted_p_value,rejected_at_5pct
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,31,-3.4794350652253887,0.1036,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,beforeit_var_p2_constant,31,-5.147535795130469,0.1036,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,beforeit_var_p3_constant,31,-17.393942602571805,0.1036,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,31,-0.6734071558024396,0.1036,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_small_nk,31,-5.887547920313449,0.0292,true
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_small_nk_median,31,-5.87569939812405,0.0254,true
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_sw07,31,-3.2109356656362933,0.1036,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,dsge_sw07_median,31,-3.156472688107569,0.1036,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,naive_drift,31,-3.506616429097065,0.0542,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,naive_historical_mean,31,-1.5187181250886135,0.0542,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,naive_no_change,31,-2.5879860361504035,0.0542,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,31,-0.6617622956875465,0.0616,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_p1_constant,31,-0.6201350721113552,0.1036,false
abm_pandemic_masked_common_cells,secondary_nominal_gdp_effective_federal_funds_rate,beforeit_abm_us_v3_mean,univariate_ar_p4_constant,31,-0.6057410330010197,0.1036,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p1_constant,31,8.047650738848045,0.9516,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p2_constant,31,7.093744383050405,0.9458,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,beforeit_var_p3_constant,31,0.35160198456698527,0.6864,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,bvar_mniw_v1_p1_constant_tight3fc999999999999a_decay3ff0000000000000_own0000000000000000_ivar4059000000000000_iwoff2_iscale3ff0000000000000_floor3e45798ee2308c3a_diffmse_scale,31,8.414044986667301,0.9458,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_small_nk,31,3.090675720238828,0.8802,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_small_nk_median,31,3.094682800867926,0.8826,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_sw07,31,8.41665769528773,0.9458,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,dsge_sw07_median,31,8.441621940202932,0.9458,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,naive_drift,31,7.569606936228803,0.9516,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,naive_historical_mean,31,5.861397762128496,0.9272,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,naive_no_change,31,8.38144424508544,0.9516,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,univariate_ar_bic_p1-2-3-4-5-6-7-8_constant,31,8.333566176388436,0.9458,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,univariate_ar_p1_constant,31,7.351773656991471,0.9466,false
abm_pandemic_masked_common_cells,labour_unemployment_rate,beforeit_abm_us_v3_mean,univariate_ar_p4_constant,31,8.220160656151915,0.9466,false
